Paper URL,Paper ID,Video_Presentation,bib,Supplentary,Slides_Presentation
https://www.aclweb.org/anthology/P17-1001.pdf,P17-1001,https://vimeo.com/234952967,/anthology/P17-1001.bib,,
https://www.aclweb.org/anthology/P17-1002.pdf,P17-1002,https://vimeo.com/234953034,/anthology/P17-1002.bib,https://www.aclweb.org/anthology/attachments/P17-1002.Notes.pdf,
https://www.aclweb.org/anthology/P17-1003.pdf,P17-1003,https://vimeo.com/234953110,/anthology/P17-1003.bib,https://www.aclweb.org/anthology/attachments/P17-1003.Notes.pdf,
https://www.aclweb.org/anthology/P17-1004.pdf,P17-1004,https://vimeo.com/234953158,/anthology/P17-1004.bib,,
https://www.aclweb.org/anthology/P17-1005.pdf,P17-1005,https://vimeo.com/234954083,/anthology/P17-1005.bib,,
https://www.aclweb.org/anthology/P17-1006.pdf,P17-1006,https://vimeo.com/234954143,/anthology/P17-1006.bib,https://www.aclweb.org/anthology/attachments/P17-1006.Notes.zip,
https://www.aclweb.org/anthology/P17-1007.pdf,P17-1007,https://vimeo.com/234954195,/anthology/P17-1007.bib,,
https://www.aclweb.org/anthology/P17-1008.pdf,P17-1008,https://vimeo.com/234954248,/anthology/P17-1008.bib,,
https://www.aclweb.org/anthology/P17-1009.pdf,P17-1009,https://vimeo.com/234953264,/anthology/P17-1009.bib,,
https://www.aclweb.org/anthology/P17-1010.pdf,P17-1010,https://vimeo.com/234953310,/anthology/P17-1010.bib,,
https://www.aclweb.org/anthology/P17-1011.pdf,P17-1011,https://vimeo.com/234953346,/anthology/P17-1011.bib,,
https://www.aclweb.org/anthology/P17-1012.pdf,P17-1012,https://vimeo.com/234951320,/anthology/P17-1012.bib,,
https://www.aclweb.org/anthology/P17-1013.pdf,P17-1013,https://vimeo.com/234951392,/anthology/P17-1013.bib,,
https://www.aclweb.org/anthology/P17-1014.pdf,P17-1014,https://vimeo.com/234952236,/anthology/P17-1014.bib,,https://www.aclweb.org/anthology/attachments/P17-1014.Presentation.pdf
