Paper URL,Paper ID,Video_Presentation,bib,Supplentary,Slides_Presentation
https://www.aclweb.org/anthology/D17-1001.pdf,D17-1001,https://vimeo.com/238234373,/anthology/D17-1001.bib,https://www.aclweb.org/anthology/attachments/D17-1001.Attachment.zip,
https://www.aclweb.org/anthology/D17-1002.pdf,D17-1002,https://vimeo.com/238233093,/anthology/D17-1002.bib,,
https://www.aclweb.org/anthology/D17-1003.pdf,D17-1003,https://vimeo.com/238235370,/anthology/D17-1003.bib,https://www.aclweb.org/anthology/attachments/D17-1003.Attachment.pdf,
https://www.aclweb.org/anthology/D17-1004.pdf,D17-1004,https://vimeo.com/238230211,/anthology/D17-1004.bib,https://www.aclweb.org/anthology/attachments/D17-1004.Attachment.pdf,
https://www.aclweb.org/anthology/D17-1005.pdf,D17-1005,https://vimeo.com/238228823,/anthology/D17-1005.bib,,
https://www.aclweb.org/anthology/D17-1006.pdf,D17-1006,https://vimeo.com/238228864,/anthology/D17-1006.bib,,
https://www.aclweb.org/anthology/D17-1007.pdf,D17-1007,https://vimeo.com/238228743,/anthology/D17-1007.bib,,
https://www.aclweb.org/anthology/D17-1008.pdf,D17-1008,https://vimeo.com/238236475,/anthology/D17-1008.bib,https://www.aclweb.org/anthology/attachments/D17-1008.Attachment.zip,
https://www.aclweb.org/anthology/D17-1009.pdf,D17-1009,https://vimeo.com/238236598,/anthology/D17-1009.bib,https://www.aclweb.org/anthology/attachments/D17-1009.Attachment.pdf,
https://www.aclweb.org/anthology/D17-1010.pdf,D17-1010,https://vimeo.com/238234299,/anthology/D17-1010.bib,,https://www.aclweb.org/anthology/attachments/D17-1010.Presentation.pdf
https://www.aclweb.org/anthology/D17-1011.pdf,D17-1011,https://vimeo.com/238235308,/anthology/D17-1011.bib,https://www.aclweb.org/anthology/attachments/D17-1011.Attachment.zip,
https://www.aclweb.org/anthology/D17-1012.pdf,D17-1012,https://vimeo.com/238234769,/anthology/D17-1012.bib,,
https://www.aclweb.org/anthology/D17-1014.pdf,D17-1014,https://vimeo.com/238236392,/anthology/D17-1014.bib,https://www.aclweb.org/anthology/attachments/D17-1014.Attachment.pdf,
https://www.aclweb.org/anthology/D17-1015.pdf,D17-1015,https://vimeo.com/238230308,/anthology/D17-1015.bib,,
https://www.aclweb.org/anthology/D17-1016.pdf,D17-1016,https://vimeo.com/238228698,/anthology/D17-1016.bib,,
