Paper URL,Paper ID,Video_Presentation,bib,Supplentary,Slides_Presentation
https://www.aclweb.org/anthology/N18-1001.pdf,N18-1001,http://vimeo.com/276388781,/anthology/N18-1001.bib,,
https://www.aclweb.org/anthology/N18-1002.pdf,N18-1002,http://vimeo.com/276389935,/anthology/N18-1002.bib,,
https://www.aclweb.org/anthology/N18-1003.pdf,N18-1003,http://vimeo.com/276391396,/anthology/N18-1003.bib,,
https://www.aclweb.org/anthology/N18-1004.pdf,N18-1004,http://vimeo.com/276386708,/anthology/N18-1004.bib,,
https://www.aclweb.org/anthology/N18-1005.pdf,N18-1005,http://vimeo.com/276387788,/anthology/N18-1005.bib,,
https://www.aclweb.org/anthology/N18-1006.pdf,N18-1006,http://vimeo.com/276415442,/anthology/N18-1006.bib,,
https://www.aclweb.org/anthology/N18-1007.pdf,N18-1007,http://vimeo.com/276439724,/anthology/N18-1007.bib,,
https://www.aclweb.org/anthology/N18-1008.pdf,N18-1008,http://vimeo.com/276441141,/anthology/N18-1008.bib,,
https://www.aclweb.org/anthology/N18-1009.pdf,N18-1009,http://vimeo.com/276443580,/anthology/N18-1009.bib,,
https://www.aclweb.org/anthology/N18-1027.pdf,N18-1027,http://vimeo.com/276393910,/anthology/N18-1027.bib,,
https://www.aclweb.org/anthology/N18-1028.pdf,N18-1028,http://vimeo.com/276395060,/anthology/N18-1028.bib,,
https://www.aclweb.org/anthology/N18-1029.pdf,N18-1029,http://vimeo.com/276416920,/anthology/N18-1029.bib,,
https://www.aclweb.org/anthology/N18-1030.pdf,N18-1030,http://vimeo.com/276418325,/anthology/N18-1030.bib,https://www.aclweb.org/anthology/attachments/N18-1030.Notes.pdf,
https://www.aclweb.org/anthology/N18-1031.pdf,N18-1031,http://vimeo.com/276445914,/anthology/N18-1031.bib,,
https://www.aclweb.org/anthology/N18-1032.pdf,N18-1032,http://vimeo.com/276448004,/anthology/N18-1032.bib,,
https://www.aclweb.org/anthology/N18-1033.pdf,N18-1033,http://vimeo.com/276450922,/anthology/N18-1033.bib,,
https://www.aclweb.org/anthology/N18-1034.pdf,N18-1034,http://vimeo.com/276397933,/anthology/N18-1034.bib,,
https://www.aclweb.org/anthology/N18-1035.pdf,N18-1035,http://vimeo.com/276422518,/anthology/N18-1035.bib,,
https://www.aclweb.org/anthology/N18-1036.pdf,N18-1036,http://vimeo.com/276425357,/anthology/N18-1036.bib,,
https://www.aclweb.org/anthology/N18-1037.pdf,N18-1037,http://vimeo.com/276453229,/anthology/N18-1037.bib,,
https://www.aclweb.org/anthology/N18-1038.pdf,N18-1038,http://vimeo.com/277631178,/anthology/N18-1038.bib,,
https://www.aclweb.org/anthology/N18-1039.pdf,N18-1039,http://vimeo.com/277631187,/anthology/N18-1039.bib,,
https://www.aclweb.org/anthology/N18-1040.pdf,N18-1040,http://vimeo.com/276455887,/anthology/N18-1040.bib,https://www.aclweb.org/anthology/attachments/N18-1040.Notes.pdf,
https://www.aclweb.org/anthology/N18-1055.pdf,N18-1055,http://vimeo.com/276409294,/anthology/N18-1055.bib,,
https://www.aclweb.org/anthology/N18-1056.pdf,N18-1056,http://vimeo.com/276412103,/anthology/N18-1056.bib,,
https://www.aclweb.org/anthology/N18-1057.pdf,N18-1057,http://vimeo.com/276371501,/anthology/N18-1057.bib,,
https://www.aclweb.org/anthology/N18-1059.pdf,N18-1059,http://vimeo.com/276429529,/anthology/N18-1059.bib,,
https://www.aclweb.org/anthology/N18-1060.pdf,N18-1060,http://vimeo.com/276431486,/anthology/N18-1060.bib,,
https://www.aclweb.org/anthology/N18-1063.pdf,N18-1063,http://vimeo.com/282318359,/anthology/N18-1063.bib,,
https://www.aclweb.org/anthology/N18-1064.pdf,N18-1064,http://vimeo.com/282319318,/anthology/N18-1064.bib,,
https://www.aclweb.org/anthology/N18-1065.pdf,N18-1065,http://vimeo.com/282321393,/anthology/N18-1065.bib,,
https://www.aclweb.org/anthology/N18-1066.pdf,N18-1066,http://vimeo.com/276898099,/anthology/N18-1066.bib,https://www.aclweb.org/anthology/attachments/N18-1066.Notes.pdf,
https://www.aclweb.org/anthology/N18-1067.pdf,N18-1067,http://vimeo.com/276898126,/anthology/N18-1067.bib,,
https://www.aclweb.org/anthology/N18-1092.pdf,N18-1092,http://vimeo.com/277669962,/anthology/N18-1092.bib,,
https://www.aclweb.org/anthology/N18-1093.pdf,N18-1093,http://vimeo.com/277670013,/anthology/N18-1093.bib,https://www.aclweb.org/anthology/attachments/N18-1093.Notes.pdf,
https://www.aclweb.org/anthology/N18-1094.pdf,N18-1094,http://vimeo.com/282323369,/anthology/N18-1094.bib,,
https://www.aclweb.org/anthology/N18-1095.pdf,N18-1095,http://vimeo.com/282325809,/anthology/N18-1095.bib,,
https://www.aclweb.org/anthology/N18-1096.pdf,N18-1096,http://vimeo.com/282327794,/anthology/N18-1096.bib,,
https://www.aclweb.org/anthology/N18-1098.pdf,N18-1098,http://vimeo.com/277669869,/anthology/N18-1098.bib,,
https://www.aclweb.org/anthology/N18-1099.pdf,N18-1099,http://vimeo.com/277669906,/anthology/N18-1099.bib,,
https://www.aclweb.org/anthology/N18-1101.pdf,N18-1101,http://vimeo.com/282330248,/anthology/N18-1101.bib,,
https://www.aclweb.org/anthology/N18-1102.pdf,N18-1102,http://vimeo.com/282332520,/anthology/N18-1102.bib,https://www.aclweb.org/anthology/attachments/N18-1102.Notes.pdf,
https://www.aclweb.org/anthology/N18-1103.pdf,N18-1103,http://vimeo.com/282333968,/anthology/N18-1103.bib,,
https://www.aclweb.org/anthology/N18-1104.pdf,N18-1104,http://vimeo.com/282336638,/anthology/N18-1104.bib,,
https://www.aclweb.org/anthology/N18-1105.pdf,N18-1105,http://vimeo.com/276898174,/anthology/N18-1105.bib,,
https://www.aclweb.org/anthology/N18-1106.pdf,N18-1106,http://vimeo.com/276898193,/anthology/N18-1106.bib,,
https://www.aclweb.org/anthology/N18-1107.pdf,N18-1107,http://vimeo.com/276898201,/anthology/N18-1107.bib,,
https://www.aclweb.org/anthology/N18-1108.pdf,N18-1108,http://vimeo.com/276898233,/anthology/N18-1108.bib,,
https://www.aclweb.org/anthology/N18-1131.pdf,N18-1131,https://vimeo.com/277349441,/anthology/N18-1131.bib,,
https://www.aclweb.org/anthology/N18-1132.pdf,N18-1132,http://vimeo.com/277672495,/anthology/N18-1132.bib,https://www.aclweb.org/anthology/attachments/N18-1132.Notes.pdf,
https://www.aclweb.org/anthology/N18-1133.pdf,N18-1133,http://vimeo.com/277671743,/anthology/N18-1133.bib,https://www.aclweb.org/anthology/attachments/N18-1133.Notes.pdf,
https://www.aclweb.org/anthology/N18-1134.pdf,N18-1134,http://vimeo.com/277672746,/anthology/N18-1134.bib,,
https://www.aclweb.org/anthology/N18-1135.pdf,N18-1135,http://vimeo.com/277672994,/anthology/N18-1135.bib,,
https://www.aclweb.org/anthology/N18-1136.pdf,N18-1136,http://vimeo.com/277672916,/anthology/N18-1136.bib,,
https://www.aclweb.org/anthology/N18-1137.pdf,N18-1137,https://vimeo.com/277348853,/anthology/N18-1137.bib,,
https://www.aclweb.org/anthology/N18-1138.pdf,N18-1138,https://vimeo.com/277348640,/anthology/N18-1138.bib,,
https://www.aclweb.org/anthology/N18-1162.pdf,N18-1162,http://vimeo.com/277671819,/anthology/N18-1162.bib,https://www.aclweb.org/anthology/attachments/N18-1162.Notes.pdf,
https://www.aclweb.org/anthology/N18-1163.pdf,N18-1163,http://vimeo.com/277671902,/anthology/N18-1163.bib,,
https://www.aclweb.org/anthology/N18-1164.pdf,N18-1164,http://vimeo.com/277671673,/anthology/N18-1164.bib,,
https://www.aclweb.org/anthology/N18-1165.pdf,N18-1165,http://vimeo.com/277673049,/anthology/N18-1165.bib,,
https://www.aclweb.org/anthology/N18-1166.pdf,N18-1166,http://vimeo.com/277672694,/anthology/N18-1166.bib,,
https://www.aclweb.org/anthology/N18-1167.pdf,N18-1167,http://vimeo.com/277673016,/anthology/N18-1167.bib,https://www.aclweb.org/anthology/attachments/N18-1167.Notes.pdf,
https://www.aclweb.org/anthology/N18-1168.pdf,N18-1168,http://vimeo.com/277673836,/anthology/N18-1168.bib,,
https://www.aclweb.org/anthology/N18-1169.pdf,N18-1169,http://vimeo.com/277673818,/anthology/N18-1169.bib,https://www.aclweb.org/anthology/attachments/N18-1169.Notes.pdf,
https://www.aclweb.org/anthology/N18-1170.pdf,N18-1170,http://vimeo.com/277673796,/anthology/N18-1170.bib,,
https://www.aclweb.org/anthology/N18-1171.pdf,N18-1171,http://vimeo.com/277672337,/anthology/N18-1171.bib,,
https://www.aclweb.org/anthology/N18-1172.pdf,N18-1172,http://vimeo.com/277671362,/anthology/N18-1172.bib,,
https://www.aclweb.org/anthology/N18-1173.pdf,N18-1173,http://vimeo.com/277671439,/anthology/N18-1173.bib,,
https://www.aclweb.org/anthology/N18-1174.pdf,N18-1174,http://vimeo.com/277671591,/anthology/N18-1174.bib,,
https://www.aclweb.org/anthology/N18-1175.pdf,N18-1175,http://vimeo.com/277672779,/anthology/N18-1175.bib,https://www.aclweb.org/anthology/attachments/N18-1175.Notes.pdf,
https://www.aclweb.org/anthology/N18-1176.pdf,N18-1176,http://vimeo.com/277672970,/anthology/N18-1176.bib,,
https://www.aclweb.org/anthology/N18-1177.pdf,N18-1177,http://vimeo.com/277672896,/anthology/N18-1177.bib,,
https://www.aclweb.org/anthology/N18-1178.pdf,N18-1178,http://vimeo.com/277672945,/anthology/N18-1178.bib,,
https://www.aclweb.org/anthology/N18-1179.pdf,N18-1179,http://vimeo.com/277673944,/anthology/N18-1179.bib,,
https://www.aclweb.org/anthology/N18-1202.pdf,N18-1202,http://vimeo.com/277672840,/anthology/N18-1202.bib,https://www.aclweb.org/anthology/attachments/N18-1202.Notes.pdf,
https://www.aclweb.org/anthology/N18-1203.pdf,N18-1203,http://vimeo.com/277672864,/anthology/N18-1203.bib,https://www.aclweb.org/anthology/attachments/N18-1203.Notes.pdf,
https://www.aclweb.org/anthology/N18-1204.pdf,N18-1204,http://vimeo.com/277672801,/anthology/N18-1204.bib,,
https://www.aclweb.org/anthology/N18-1205.pdf,N18-1205,http://vimeo.com/277672723,/anthology/N18-1205.bib,,
https://www.aclweb.org/anthology/N18-2021.pdf,N18-2021,http://vimeo.com/276400814,/anthology/N18-2021.bib,,
https://www.aclweb.org/anthology/N18-2022.pdf,N18-2022,http://vimeo.com/276426716,/anthology/N18-2022.bib,,
https://www.aclweb.org/anthology/N18-2046.pdf,N18-2046,http://vimeo.com/276373827,/anthology/N18-2046.bib,,
https://www.aclweb.org/anthology/N18-2047.pdf,N18-2047,http://vimeo.com/276433908,/anthology/N18-2047.bib,,
https://www.aclweb.org/anthology/N18-2048.pdf,N18-2048,http://vimeo.com/277631568,/anthology/N18-2048.bib,,
https://www.aclweb.org/anthology/N18-2049.pdf,N18-2049,http://vimeo.com/276898113,/anthology/N18-2049.bib,https://www.aclweb.org/anthology/attachments/N18-2049.Notes.pdf,
https://www.aclweb.org/anthology/N18-2069.pdf,N18-2069,http://vimeo.com/276898131,/anthology/N18-2069.bib,,
https://www.aclweb.org/anthology/N18-2070.pdf,N18-2070,http://vimeo.com/276898147,/anthology/N18-2070.bib,,
https://www.aclweb.org/anthology/N18-2071.pdf,N18-2071,http://vimeo.com/276898161,/anthology/N18-2071.bib,,
https://www.aclweb.org/anthology/N18-2107.pdf,N18-2107,http://vimeo.com/277671532,/anthology/N18-2107.bib,,
https://www.aclweb.org/anthology/N18-2108.pdf,N18-2108,http://vimeo.com/277672817,/anthology/N18-2108.bib,,
https://www.aclweb.org/anthology/N18-2109.pdf,N18-2109,http://vimeo.com/277673868,/anthology/N18-2109.bib,,
https://www.aclweb.org/anthology/N18-3001.pdf,N18-3001,http://vimeo.com/277630837,/anthology/N18-3001.bib,,
https://www.aclweb.org/anthology/N18-3002.pdf,N18-3002,http://vimeo.com/277630843,/anthology/N18-3002.bib,,
https://www.aclweb.org/anthology/N18-3003.pdf,N18-3003,http://vimeo.com/277630853,/anthology/N18-3003.bib,,
https://www.aclweb.org/anthology/N18-3004.pdf,N18-3004,http://vimeo.com/277631110,/anthology/N18-3004.bib,,
https://www.aclweb.org/anthology/N18-3005.pdf,N18-3005,http://vimeo.com/277631102,/anthology/N18-3005.bib,,
https://www.aclweb.org/anthology/N18-3006.pdf,N18-3006,http://vimeo.com/277631118,/anthology/N18-3006.bib,,
https://www.aclweb.org/anthology/N18-3012.pdf,N18-3012,http://vimeo.com/277631383,/anthology/N18-3012.bib,,
https://www.aclweb.org/anthology/N18-3013.pdf,N18-3013,http://vimeo.com/277631374,/anthology/N18-3013.bib,,
https://www.aclweb.org/anthology/N18-3014.pdf,N18-3014,http://vimeo.com/277631395,/anthology/N18-3014.bib,,
https://www.aclweb.org/anthology/N18-3015.pdf,N18-3015,http://vimeo.com/277631480,/anthology/N18-3015.bib,,
https://www.aclweb.org/anthology/N18-3017.pdf,N18-3017,http://vimeo.com/277669655,/anthology/N18-3017.bib,,
https://www.aclweb.org/anthology/N18-3018.pdf,N18-3018,http://vimeo.com/277669529,/anthology/N18-3018.bib,,
https://www.aclweb.org/anthology/N18-3019.pdf,N18-3019,http://vimeo.com/277669612,/anthology/N18-3019.bib,,
https://www.aclweb.org/anthology/N18-3020.pdf,N18-3020,http://vimeo.com/277669567,/anthology/N18-3020.bib,,
https://www.aclweb.org/anthology/N18-3021.pdf,N18-3021,http://vimeo.com/277669493,/anthology/N18-3021.bib,,
https://www.aclweb.org/anthology/N18-3022.pdf,N18-3022,http://vimeo.com/277669699,/anthology/N18-3022.bib,,
https://www.aclweb.org/anthology/N18-3024.pdf,N18-3024,http://vimeo.com/277674125,/anthology/N18-3024.bib,,
https://www.aclweb.org/anthology/N18-3025.pdf,N18-3025,http://vimeo.com/277674060,/anthology/N18-3025.bib,,
https://www.aclweb.org/anthology/N18-3026.pdf,N18-3026,http://vimeo.com/277674087,/anthology/N18-3026.bib,,
https://www.aclweb.org/anthology/N18-4001.pdf,N18-4001,http://vimeo.com/277631295,/anthology/N18-4001.bib,,
https://www.aclweb.org/anthology/N18-4004.pdf,N18-4004,http://vimeo.com/277631281,/anthology/N18-4004.bib,,
