Paper URL,Paper ID,Video_Presentation,bib,Supplentary,Slides_Presentation
https://www.aclweb.org/anthology/P15-1001.pdf,P15-1001,http://techtalks.tv/talks/on-using-very-large-target-vocabulary-for-neural-machine-translation/61755/,/anthology/P15-1001.bib,,
https://www.aclweb.org/anthology/P15-1002.pdf,P15-1002,http://techtalks.tv/talks/addressing-the-rare-word-problem-in-neural-machine-translation/61756/,/anthology/P15-1002.bib,,
https://www.aclweb.org/anthology/P15-1003.pdf,P15-1003,http://techtalks.tv/talks/encoding-source-language-with-convolutional-neural-network-for-machine-translation/61757/,/anthology/P15-1003.bib,,
https://www.aclweb.org/anthology/P15-1004.pdf,P15-1004,http://techtalks.tv/talks/statistical-machine-translation-features-with-multitask-tensor-networks/61758/,/anthology/P15-1004.bib,,
https://www.aclweb.org/anthology/P15-1005.pdf,P15-1005,http://techtalks.tv/talks/describing-images-using-inferred-visual-dependency-representations/61683/,/anthology/P15-1005.bib,,
https://www.aclweb.org/anthology/P15-1006.pdf,P15-1006,http://techtalks.tv/talks/text-to-3d-scene-generation-with-rich-lexical-grounding/61684/,/anthology/P15-1006.bib,,
https://www.aclweb.org/anthology/P15-1007.pdf,P15-1007,http://techtalks.tv/talks/multigrancnn-an-architecture-for-general-matching-of-text-chunks-on-multiple-levels-of-granularity/61685/,/anthology/P15-1007.bib,,
https://www.aclweb.org/anthology/P15-1008.pdf,P15-1008,http://techtalks.tv/talks/weakly-supervised-models-of-aspect-sentiment-for-online-course-discussion-forums/61687/,/anthology/P15-1008.bib,,
https://www.aclweb.org/anthology/P15-1009.pdf,P15-1009,http://techtalks.tv/talks/semantically-smooth-knowledge-graph-embedding/61710/,/anthology/P15-1009.bib,,
https://www.aclweb.org/anthology/P15-1010.pdf,P15-1010,http://techtalks.tv/talks/sensembed-learning-sense-embeddings-for-word-and-relational-similarity/61711/,/anthology/P15-1010.bib,,
https://www.aclweb.org/anthology/P15-1011.pdf,P15-1011,http://techtalks.tv/talks/revisiting-word-embedding-for-contrasting-meaning/61712/,/anthology/P15-1011.bib,,
https://www.aclweb.org/anthology/P15-1012.pdf,P15-1012,http://techtalks.tv/talks/joint-models-of-disagreement-and-stance-in-online-debate/61724/,/anthology/P15-1012.bib,,
https://www.aclweb.org/anthology/P15-1013.pdf,P15-1013,http://techtalks.tv/talks/low-rank-regularization-for-sparse-conjunctive-feature-feature-spaces-an-application-to-named-entity-classification/61725/,/anthology/P15-1013.bib,,
https://www.aclweb.org/anthology/P15-1014.pdf,P15-1014,http://techtalks.tv/talks/learning-word-representations-by-jointly-modeling-syntagmatic-and-paradigmatic-relations/61726/,/anthology/P15-1014.bib,,
https://www.aclweb.org/anthology/P15-1015.pdf,P15-1015,http://techtalks.tv/talks/learning-dynamic-feature-selection-for-fast-sequential-prediction/61727/,/anthology/P15-1015.bib,https://www.aclweb.org/anthology/attachments/P15-1015.Notes.pdf,
https://www.aclweb.org/anthology/P15-1016.pdf,P15-1016,http://techtalks.tv/talks/compositional-vector-space-models-for-knowledge-base-inference/61739/,/anthology/P15-1016.bib,,
https://www.aclweb.org/anthology/P15-1017.pdf,P15-1017,http://techtalks.tv/talks/event-extraction-via-dynamic-multi-pooling-convolutional-networks/61740/,/anthology/P15-1017.bib,,
https://www.aclweb.org/anthology/P15-1018.pdf,P15-1018,http://techtalks.tv/talks/stacked-ensembles-of-information-extractors-for-knowledge-base-population/61741/,/anthology/P15-1018.bib,,
https://www.aclweb.org/anthology/P15-1019.pdf,P15-1019,http://techtalks.tv/talks/generative-event-schema-induction-with-entity-disambiguation/61742/,/anthology/P15-1019.bib,,
https://www.aclweb.org/anthology/P15-1020.pdf,P15-1020,http://techtalks.tv/talks/syntax-based-simultaneous-translation-through-prediction-of-unseen-syntactic-constituents/61688/,/anthology/P15-1020.bib,,
https://www.aclweb.org/anthology/P15-1021.pdf,P15-1021,http://techtalks.tv/talks/efficient-top-down-btg-parsing-for-machine-translation-preordering/61689/,/anthology/P15-1021.bib,,
https://www.aclweb.org/anthology/P15-1022.pdf,P15-1022,http://techtalks.tv/talks/online-multitask-learning-for-machine-translation-quality-estimation/61690/,/anthology/P15-1022.bib,,
https://www.aclweb.org/anthology/P15-1023.pdf,P15-1023,http://techtalks.tv/talks/a-context-aware-topic-model-for-statistical-machine-translation/61691/,/anthology/P15-1023.bib,,
https://www.aclweb.org/anthology/P15-1024.pdf,P15-1024,http://techtalks.tv/talks/learning-answer-entailing-structures-for-machine-comprehension/61698/,/anthology/P15-1024.bib,https://www.aclweb.org/anthology/attachments/P15-1024.Notes.pdf,
https://www.aclweb.org/anthology/P15-1025.pdf,P15-1025,http://techtalks.tv/talks/learning-continuous-word-embedding-with-metadata-for-question-retrieval-in-community-question-answering/61699/,/anthology/P15-1025.bib,,
https://www.aclweb.org/anthology/P15-1026.pdf,P15-1026,http://techtalks.tv/talks/question-answering-over-freebase-with-multi-column-convolutional-neural-networks/61700/,/anthology/P15-1026.bib,,
https://www.aclweb.org/anthology/P15-1027.pdf,P15-1027,http://techtalks.tv/talks/hubness-and-pollution-delving-into-cross-space-mapping-for-zero-shot-learning/61713/,/anthology/P15-1027.bib,,
https://www.aclweb.org/anthology/P15-1028.pdf,P15-1028,http://techtalks.tv/talks/a-generalization-of-lexical-functions-for-composition-in-distributional-semantics/61715/,/anthology/P15-1028.bib,,
https://www.aclweb.org/anthology/P15-1029.pdf,P15-1029,http://techtalks.tv/talks/simple-learning-and-compositional-application-of-perceptually-grounded-word-meanings-for-incremental-reference-resolution/61716/,/anthology/P15-1029.bib,,
