Video_Presentation,Abstracts
http://videolectures.net/bmvc2012_jegou_image_search/,"The first part of this tutorial, dedicated to large-scale image retrieval, will first introduce the typical use-cases and the datasets used for evaluation of image search when considering an unsupervised framework. We will present different classes of techniques considering different trade-offs with respect to efficiency and search quality. Starting with the most costly but precise patch-based matching and spatial verification techniques, we will present the bag-of-words model, its matching interpretation and several improvements, including re-ranking techniques based on spatial verification and query expansion. Finally, the most scalable techniques based on aggregation/coding techniques and compressed-domain search will be detailed."
http://videolectures.net/bmvc2012_kohli_discrete_models/,"Many problems in Computer Vision are formulated in form of a random filed of discrete variables. Examples range from low-level vision such as image segmentation, optical flow and stereo reconstruction, to high-level vision such as object recognition. The goal is typically to infer the most probable values of the random variables, known as Maximum a Posteriori (MAP) estimation. This has been widely studied in several areas of Computer Science (e.g. Computer Vision, Machine Learning, Theory), and the resulting algorithms have greatly helped in obtaining accurate and reliable solutions to many problems. These algorithms are extremely efficient and can find the globally (or strong locally) optimal solutions for an important class of models in polynomial time. Hence, they have led to a significant increase in the use of random field models in computer vision and information engineering in general. This tutorial is aimed at researchers who wish to use and understand these algorithms for solving new problems in computer vision and information engineering. No prior knowledge of probabilistic models or discrete optimization will be assumed. The tutorial will answer the following questions: (a) How to formalize and solve some known vision problems using MAP inference of a random field? (b) What are the different genres of MAP inference algorithms? (c) How do they work? (d) What are the recent developments and open questions in this field?"
http://videolectures.net/bmvc2012_sclaroff_communication/,"This talk will give an overview of some of the research in the Image and Video Computing Group at Boston University related to tracking, analysis, recognition and retrieval of images and video based on humans and their actions. First, efficient methods for inference of human pose will be presented. Linearly augmented tree models are proposed that enable efficient scale and rotation invariant matching. In another approach, articulated pose estimation with loopy graph models is made efficient via a branch-and-bound strategy for finding the globally optimal pose. Second, methods for learning human action models from Web images and video will be presented; the methods require no human intervention other than the action keywords to be used to form text queries to Web image and video search engines. A Multiple Instance Learning framework for exploiting properties of the scene, objects, and humans in video is also proposed. Third, work towards automatic recognition and retrieval of American Sign Language (ASL) in video databases will be presented. The goal is to enable users to search ASL video content simply by video-recording a query sign and relying on computer-based sign-recognition for lookup."
http://videolectures.net/bmvc2012_quattoni_structure_prediction/,"In the first part of the talk I will present recent work on learning latent variable models for content-based image retrieval. To learn a function that predicts the relevance of a database image to an image query all that we need is some form of feedback from users of the retrieval system. For example, we can obtain triplet constraints specifying that relative to some query Q, an image A should be ranked higher than an image B. When such feedback is available ranking SVMs can be used to induce the retrieval function. I will describe an extension of this framework where instead of learning a single relevance function we learn a mixture of relevance functions. Intuitively, given a query we first compute a distribution over ""coarse"" latent classes and then compute the relevance function for queries of that class. I will present a simple learning algorithm that induces both the latent classes and the parameters of each model. In the second part of the talk I will describe some of my current work on developing efficient learning algorithms for structure prediction with latent variables. These algorithms are based on using an algebraic representation that exploits directly the markovianity of the distribution."
http://videolectures.net/bmvc2012_davison_scene_perception/,"We have seen great advances in real-time 3D vision in recent years, enabled by algorithmic improvements, the continuing increase in commodity processing power and better camera technology. Research in Monocular SLAM (Simultaneous Localisation and Mapping), where a single agile camera moves through a mostly static scene, was for a long time focused on mapping only enough of a scene to enable robust real-time motion estimation of the camera itself. Attention is now turning however to gradually improving the quality of scene reconstruction which can be achieved in real-time. I will speak about how early work on feature-based SLAM is now being surpassed by methods which aim to map dense scene structure, and how this is leading towards ever-more general 3D scene modelling and understanding."
http://videolectures.net/bmvc2012_matas_visual_tracking/,"Visual tracking is an old area that has recently seen a surge in activity. The interest has been fueled by progress in related fields like detection, segmentation and optic flow as well as by application-driven demand and the increase in the available computing power. The published tracking methods differ in many aspects such as the speed, the complexity of the model of the tracked entity, the (geometric) transformations assumed, the mode of operation (casual and non-causal), the ability to adapt and learn, the robustness to occlusion and assumptions about the observer. I will review the dataset used in recent publications and show that the ""tracker space"" is still wide open with large areas to be explored. I will then present three trackers developed by me and my collaborators that operate at very different points in the speed-robustness-flexibility space that are close to the ""convex hull"" of published methods: the TLD tracker, the Flock-of-Trackers and the Zero-Shift-Point tracker. I will focus on a common aspect shared by the trackers: mechanisms for prediction and handling of tracking errors. Such mechanisms contribute to tracker robustness, which will be demonstrated live."
http://videolectures.net/bmvc2012_pfister_sign_language/,"We present a fully automatic arm and hand tracker that detects joint positions over continuous sign language video sequences of more than an hour in length. Our framework replicates the state-of-the-art long term tracker by Buehler et al. (IJCV 2011), but does not require the manual annotation and, after automatic initialisation, performs tracking in real-time. We cast the problem as a generic frame-by-frame random forest regressor without a strong spatial model. Our contributions are (i) a co-segmentation algorithm that automatically separates the signer from any signed TV broadcast using a generative layered model; (ii) a method of predicting joint positions given only the segmentation and a colour model using a random forest regressor; and (iii) demonstrating that the random forest can be trained from an existing semi-automatic, but computationally expensive, tracker. The method is applied to signing footage with changing background, challenging imaging conditions, and for different signers. We achieve superior joint localisation results to those obtained using the method of Buehler et al."
http://videolectures.net/bmvc2012_padoy_curvilinear_objects/,"The evaluation and automation of tasks involving the manipulation of deformable curvilinear objects, such as threads and cables, requires the real-time estimation of the 3D shapes of these objects from images. This estimation is however extremely challenging due to the small amount of available visual information, the inherent geometric ambiguities, and the large object deformations. We propose an approach for tracking deformable curvilinear objects using solely visual information from one or more calibrated cameras. The key idea is to formulate the shape estimation as a deformable 1D template tracking problem. The object is first textured with a pattern of different alternating colors. The tracking problem is then expressed as an energy minimization over a set of control points parameterizing a 3D NURBS modeling the object. Assuming the object’s in-extensibility, we propose a novel energy based on a texture-sensitive distance map. We demonstrate the benefits of this energy in synthetic and real experiments, using data illustrating the deformation and manipulation of a thread with a da Vinci robot. In particular, we show that the approach allows for deformable tracking in the absence of normal motion along the curve, a challenging practical situation that occurs when the thread is dragged by one extremity."
http://videolectures.net/bmvc2012_kazemi_pose_estimation/,"We present a fully automatic procedure for reconstructing the pose of a person in 3D from images taken from multiple views. We demonstrate a novel approach for learning more complex models using SVM-Rank, to reorder a set of high scoring configurations. The new model in many cases can resolve the problem of double counting of limbs which happens often in the pictorial structure based models. We address the problem of flipping ambiguity to find the correct correspondences of 2D predictions across all views. We obtain improvements for 2D prediction over the state of art methods on our dataset. We show that the results in many cases are good enough for a fully automatic 3D reconstruction with uncalibrated cameras."
http://videolectures.net/bmvc2012_mitzel_human_detection/,"In this paper we consider the problem of multi-person detection from the perspective of a head mounted stereo camera. As pedestrians close to the camera cannot be detected by classical full-body detectors due to strong occlusion, we propose a stereo depth-template based detection approach for close-range pedestrians. We perform a sliding window procedure, where we measure the similarity between a learned depth template and the depth image. To reduce the search space of the detector we slide the detector only over few selected regions of interest that are generated based on depth information. The region-of-interest selection allows us to further constrain the number of scales to be evaluated, significantly reducing the computational cost. We present experiments on stereo sequences recorded from a head-mounted camera setup in crowded shopping street scenarios and show that our proposed approach achieves superior performance on this very challenging data."
