Video_Presentation,Abstracts
http://videolectures.net/classconference2012_keahey_computing/,"Infrastructure-as-a-Service cloud computing has profoundly changed the way we procure, manage, and use compute and storage resources. Since it allows users to easily provision remote resources on-demand, it enabled whole communities to treat the acquisition of compute and storage resources as an operational consideration rather than capital acquisition. The emergence of this new model raises many questions. How will infrastructure clouds change our work patterns? Is it a viable solution for scientific applications? What challenges need to be overcome to enable and facilitate a transition to this new computing model? The Nimbus project has been promoting the use of infrastructure clouds in the scientific community for nearly a decade. In this talk, I will describe what attracted various communities to infrastructure cloud computing, give examples of how they integrated this new model into their work, and describe the challenges they encountered while doing so. I will briefly discuss how those challenges shaped the development of a variety of features in Nimbus Infrastructure as well as infrastructure cloud platform which provides an integrated set of tools enabling deployment, auto-scaling and high availability across multiple academic and commercial clouds. I will discuss scientific applications currently making use of such multi-cloud environment as well as factors shaping the future of this rapidly developing field."
http://videolectures.net/classconference2012_little_vision/,"Platform as a Service has gained great popularity over the past two years. Many vendors have rewritten their middleware handbooks, and discarded existing investments in Java EE. With the rapid growth in interest around mobile, we're starting to hear the same things: that existing middleware implementations and approaches are simply not right for the mobile developer. In short, Cloud and Mobile represent the death of middleware! However, we believe that this approach may be short-sighted and risky. Not only does enterprise Java (particularly Java EE) have a critical role to play in Java-based PaaS and mobile solutions, but it can also be used as a platform for other languages such as Ruby, that are finding growing adoption in both of these areas. The requirements for real world Cloud or Mobile applications include reliability, security, fault tolerance and much more: things that your typical enterprise middleware developer has taken for granted for four decades. In this session we will discuss the needs for enterprise Java in both Cloud and Mobile. We will also suggest how Java, the JVM and associated standards and communities need to evolve in order to better serve these two growing and important aspects computing."
http://videolectures.net/classconference2012_morin_clouds/,"Cloud computing has rapidly gained momentum in industry and research. The Silicon Valley is a unique ecosystem in the world with large companies like Google, Apple and a myriad of start-ups shaping the future of cloud computing together with leading research labs such as the AmpLab laboratory at UC Berkeley and the Lawrence Berkeley National Laboratory (LBNL). While AmpLab research activities are at the intersection of machine learning, cloud computing, and crowd sourcing, researchers at LBNL investigate cloud computing and data analytics for Science. In my talk, I will present some of the on-going research and development projects on cloud computing carried out in the San Francisco Bay area."
http://videolectures.net/classconference2012_podgorsek_applications/,"We will introduce IBM Image Construction and Composition Tool that allows you to create custom operating system content, custom middleware, IBM & non-IBM software into custom cloud content and deploy to supported Cloud Provider. ICCT provides a systematic approach to construct virtual images in the cloud. During activation of the virtual image, you can provide customisation parameters for your environment. This allows a single virtual image to take on many different forms during the activation process in the cloud, thus allowing a single image to meet a wide variety of usage scenarios and is improving your application lifecycle maintenance."
http://videolectures.net/classconference2012_talia_data/,This talk discusses two important research topics in Cloud Computing: service-oriented knowledge discovery and agent computing in Cloud systems. Cloud-based knowledge discovery issues and systems are presented and the integrated use of multi-agent systems and Clouds are discussed.
http://videolectures.net/classconference2012_di_martino_project/,"Cloud vendor lock-in and interoperability gaps arise (among many reasons) when semantics of resources and services, and of Application Programming Interfaces is not shared. Standards and techniques borrowed from SOA and Semantic Web Services areas might help in gaining shared, machine readable description of Cloud offerings (resources, Services at Platform and Application level, and their API groundings), thus allowing automatic discovery, matchmaking, and thus supporting selection, brokering, interoperability end even composition of Cloud Services among multiple Clouds. The EU funded mOSAIC project (http://www.mosaic-cloud.eu) aims at designing and developing an innovative open-source API and platform that enables applications to be Cloud providers' neutral and to negotiate Cloud services as requested by their users. Using the mOSAIC Cloud ontology and Semantic Engine, cloud applications' developers will be able to specify their services and resources requirements and communicate them to the mOSAIC Platform and Cloud Agency. The mOSAIC Cloud Agency will implement a multi-agent brokering mechanism that will search for Cloud services matching the applications’ request, and possibly compose the requested service."
http://videolectures.net/classconference2012_ducatel_leadership/,"The European Commission is making a strategic plan to promote the take-up of cloud in the EU. The actions in the plan provide a basis for tackling some of the key issues that stakeholders have identified as major barriers such as trust and security, and for contract terms that give users the confidence to adopt services that are open and portable. The Commission has also announced a European Cloud Partnership to put Europe's public authorities at the forefront of cloud adoption by developing common requirements and more common approaches in general. The presentation will explain the steps that the Commission is taking to implement these actions, the analysis behind and how the cloud communities on the ground in Member States can get involved."
http://videolectures.net/classconference2012_banatre_innovations/,"The overall objective of EIT is to establish a new, radically more responsive configuration of how Education, Research, and Business work together to create significant innovations. EIT builds on top of already existing instruments and uses its own resources to catalyse systemic and lasting changes in the Knowledge Triangle encompassing Education-Research-Business. EIT ICT Labs implements this by adopting and applying the catalyst-carrier model in focused Action Lines addressing selected societal challenges and driven by their needs and opportunities. The educational catalysts focus on robust entrepreneurship education to empower students and integrate them to innovation ecosystems. Through research catalysts for experimental and living labs, we embrace the users and engage them with our research. The business catalysts give hands-on and timely help to new ventures or entrepreneurs in large companies."
http://videolectures.net/classconference2012_antokol_computing/,"This panel will explore the widespread use of cloud computing by organizations in the US. In particular, the panel will discuss: 1) The evolving cloud computing landscape in the US—where it stands now and where it is heading; 2) The impact of the US Patriot Act on cloud storage – and whether multinational organizations are more or less likely to have to provide documents under that Act should it store documents in the cloud; 3) The coexistence of cloud computing with seeming inconsistent data privacy and regulatory laws, such as those that apply to medical, clinical research, and genetic data; 4) The risk of security breaches in the cloud—and the corresponding impact on your organization."
http://videolectures.net/classconference2012_soumelidis_cloud/,"Why Cloud Computing fits in the 21st century so well, why it will be successful and yet decision makers are currently still reluctant to go for it with enthusiasm? The key-note tries to give answers to this questions, highlighting the mega trend that fosters Cloud Computing and to uncover the obstacles that the IT industry needs to overcome to get the CIO’s full attention."
