Video_Presentation,Abstracts
http://videolectures.net/icaps2011_palacios_albore_planning/,"Conformant planning is the problem of finding a sequence of actions for achieving a goal in the presence of uncertainty in the initial state or in action effects. On the other hand, Contingent planning is concerned with the problem of achieving goals in the presence of incomplete information and sensing actions. Both problems have been approached as a path-finding problem in belief space where good belief representations and heuristics are critical for scaling up. In this tutorial, we present algorithms for both conformant and contingent planning that rely on translations to classical planning problems, solved by an off-the-shelf classical planner.  The first half of this 1.5 hours tutorial will be devoted to present translations from conformant planning (i.e. planning with incomplete information and no sensing) into classical planning. Compiled classical problems are solved by a classical planner, taking advantage of heuristics developed for classical planning: as long as heuristics for searching in belief space have not be as successful so far. On top such a translation was built the T0 conformant planner, best performer of conformant track at IPC 2006. These general translation schemes are sound and we establish the conditions under which such translations are also complete. Thus, we present the notion of conformant width, that characterize the size of classical translations that are guarantee to be complete.  In the second half of the tutorial, we will focus on how to build efficient action selection mechanisms for planning with sensing (contingent planning) on top of conformant planning translations. In fact, the ability to find conformant plans is needed in contingent settings where conformant situations constitute a special case. Planning with incomplete information and partial observability is the most complex setting for planning. We will show how to obtain a closed-loop algorithm for achieving the goal in planning with sensing, using a conformant translation. Also, we will introduce the notion of contingent width, similar to the former conformant width, to characterize contingent planning problems.  Finally, building on the same translations, we will show how to obtain robust fine-state controllers. Finite-state and memoryless controllers are simple action selection mechanisms widely used in domains such as videogames and mobile robotics. We show how to develop model-based method for deriving finite-state controllers automatically. In particular, the models represent a class of contingent problems where actions are deterministic and some fluents are observable. The problem of deriving a controller from such models is converted into a conformant planning problem that is solved using classical planners, taking advantage of a complete translation introduced before. All algorithms will be illustrated with examples.  We expect the tutorial to be interesting for general AI researchers, as we build on simple ideas that has been successful, and that we introduce step by step. We will discuss other similar approaches and their limits, e.g. how a representation affects heuristic search, to put the translations introduced into context."
http://videolectures.net/icaps2011_chitta_planning/,"Sachin Chitta is a research scientist at Willow Garage. He received a PhD from the Grasp Lab at the University of Pennsylvania in 2005 and was a post-doctoral fellow in the Grasp Lab prior to joining Willow Garage in 2007. He finished his B.Tech from IIT, Mumbai in 1999. He worked on the dynamics and control of modular locomotion systems as a graduate student. As a post-doc, he was a part of the Littledog project at Penn which aimed to design controllers for robotic walking over extremely rough terrain. Sachin also worked in the Modular Robotics Lab at Penn, developing interesting dynamic gaits for modular robots.  Sachin's current research interests are in motion planning, learning for manipulation and mobile manipulation. His current research goal is to make robots more capable, safer and easier to use for non-experts. He would like to close the loop between sensing and manipulation in real-world environments with a specific interest in realtime motion planning in dynamic environments. He works extensively on controllers for all parts of the robot and is particularly excited by the possibility of doing cool two arm mobile manipulation tasks. Sachin is also interested in robust and reliable grasping based on real world sensor data."
http://videolectures.net/icaps2011_sanner_rddl/,"RDDL is the Relational Dynamic Influence Diagram Language, the domain modeling language used in the ICAPS 2011 International Probabilistic Planning Competition. RDDL has been developed to compactly model real-world planning problems that use boolean, multi-valued, integer and continuous variables, unrestricted concurrency, non-fluents, probabilistic independence among complex effects (important for exogenous events), aggregation operators in addition to quantifiers, and partial observability. While RDDL addresses some of the probabilistic modeling limitations of PPDDL, it's deterministic subset also addresses some modeling limitations of PDDL (e.g., models needing nonlinear difference equations or unrestricted concurrency). This tutorial provides a general introduction to RDDL, it's semantics, and a number of detailed examples like elevator and traffic control to demonstrate it's expressive power. It also provides a brief introduction to the rddlsim software that permits the simulation, evaluation, and visualization of planners and planning domains."
http://videolectures.net/icaps2011_williams_uncertainty/,"Spoken dialog systems present a classic example of planning under uncertainty. In a spoken dialog system, a computer is trying to help a person accomplish something, using spoken language as the communication medium. A key challenge is that speech recognition errors are ubiquitous and impossible to detect reliably, so the state of the conversation can never be known with certainty. Another challenge is that people do not behave deterministically. Despite these challenges, the system must choose actions to make progress to a long term goal. As such, decision theory presents an attractive approach to building spoken dialog systems. Initial work on ""toy"" dialog systems validated benefits, but also found that straightforward formulations could not scale to real-world problems. Subsequent work by a number of research teams has shown how to scale to industrial-scale systems, how to incorporate high-fidelity user simulations, and how to synthesize commercial development practices with automatic optimization. This talk traces the evolution of this application of planning under uncertainty, comments on progress toward use in industry, and suggests future avenues of research relevant to researchers interested in planning under uncertainty."
http://videolectures.net/icaps2011_van_hentenryck_disaster/,"Every year, natural disasters cause infrastructure damages and power outages that have considerable impacts on both quality of life and economic welfare. Mitigating the effects of disasters is an important but challenging task, given the underlying uncertainty, the need for fast response, and the complexity and scale of the infrastructures involved, not to mention the social and policy issues. This talk describes how to use planning and scheduling technologies to address these challenges in a rigorous and principled way. In particular, we present the first optimization solutions to last-mile disaster preparedness and recovery for a single commodity (e.g., water) and for the electrical power network. The optimization algorithms were compared to existing practice on disaster scenarios based on the US infrastructure (at the state scale) and generated by state-of-the-art hurricane simulation tools. Some of our algorithms are deployed as part as the Los Alamos National Laboratories operational tools and provide recommendations to the U.S. Department of Homeland Security."
http://videolectures.net/icaps2011_wellman_game/,"The games agents play - in markets, conflicts, or most other contexts - often defy strict game-theoretic analysis. Games may be unmanageably large (combinatorial or infinite state or action spaces), and present severely imperfect information, which could be further complicated by partial dynamic revelation. Moreover, the game may be specified procedurally, for instance by a simulator, rather than in an explicit game form. With colleagues and students over the past few years, I have been developing a body of techniques for strategic analysis, adopting the game-theoretic framework but employing it in domains where direct ""model-and-solve"" cannot apply. This empirical game-theoretic methodology embraces simulation, approximation, statistics and learning, and search. Through applications to canonical auction games, and rich trading scenarios, we demonstrate the value of empirical methods for extending the scope of game-theoretic analysis. This perspective also sheds insight into behavioral models and bases for predicting joint action in complex multiagent scenarios."
http://videolectures.net/icaps2011_magazzeni_automatic/,"Efficient use of multiple batteries is a practical problem with wide and growing application. The problem can be cast as a planning problem. We describe the approach we have adopted to modelling and solving this problem, seen as a Markov Decision Problem, building effective policies for battery switching in the face of stochastic load profiles. Our solution exploits and adapts several existing techniques from the planning literature and leads to the construction of policies that significantly outperform those that are currently in use and the best published solutions to the battery management problem. We achieve solutions that achieve more than 99\% efficiency compared with the theoretical limit and do so with far fewer battery switches than existing policies. We describe the approach in detail and provide empirical evaluation demonstrating its effectiveness."
http://videolectures.net/icaps2011_planken_computing/,"Considering directed graphs on n vertices and m edges with real (possibly negative) weights, we present two new, efficient algorithms for computing all-pairs shortest paths (APSP). These algorithms make use of directed path consistency (DPC) along a vertex ordering d. The algorithms run in O(n2wd) time, where wd is the graph width induced by this vertex ordering. For graphs of constant tree width, this yields O(n2) time, which is optimal. On chordal graphs, the algorithms run in O(nm) time. We show empirically that also in many general cases, both constructed and from realistic benchmarks, the algorithms often outperform Johnson's algorithm, which represents the current state of the art with a run time of O(nm + n2log n). These algorithms can be used for temporal and spatial reasoning, e.g. for the Simple Temporal Problem (STP), which underlines its relevance to the planning and scheduling community."
http://videolectures.net/icaps2011_ramanujan_sampling/,"The Upper Confidence bounds for Trees (UCT) algorithm has in recent years captured the attention of the planning and game-playing community due to its notable success in the game of Go. However, attempts to reproduce similar levels of performance in domains that are the forte of Minimax-style algorithms have been largely unsuccessful, making any comparative studies of the two hard. In this paper, we study UCT in the game of Mancala, which to our knowledge is the first domain where both search algorithms perform quite well with minimal enhancement. We focus on the three key components of the UCT algorithm in its purest form - targeted node expansion, state value estimation via playouts and averaging backups - and look at their contributions to the overall performance of the algorithm. We study the trade-offs involved in using alternate ways to perform these steps. Finally, we demonstrate a novel hybrid approach to enhancing UCT, that exploits its superior decision accuracy in regions of the search space with few terminal nodes."
http://videolectures.net/icaps2011_velez_exploiting/,"Consider the task of a mobile robot autonomously navigating through an environment while detecting and mapping objects of interest using a noisy object detector. The robot must reach its destination in a timely manner, but is rewarded for correctly detecting recognizable objects to be added to the map, and penalized for false alarms. However, detector performance typically varies with vantage point, so the robot benefits from planning trajectories which maximize the efficacy of the recognition system. This work describes an online, any-time planning framework enabling the active exploration of possible detections provided by an off-the-shelf object detector. We present a probabilistic approach where vantage points are identified which provide a more informative view of a potential object. The agent then weighs the benefit of increasing its confidence against the cost of taking a detour to reach each identified vantage point. The system is demonstrated to significantly improve detection and trajectory length in both simulated and real robot experiments."
