Video_Presentation,Abstracts
http://videolectures.net/icwsm2010_kraut_doc/,"Online communities are the fastest-growing portion of the Internet and provide members with information, social support, and entertainment. While a minority, such as Wikipedia, MySpace, Facebook and the Apache Server project are highly successful, many others fail. To be successful, online communities must overcome challenges common in almost all groups, organizations and voluntary associations – solving problems of start-up, recruitment, socialization, commitment, contribution, coordination and regulation of behavior. The social sciences can tell us a lot about how to create thriving online communities. Social science theories can inform choices about how to get a community started, integrate newcomers, encourage commitment, regulate behavior when there are conflicts, motivate contributions, and coordinate those contributions to maximize benefits for the community.  This talk focuses on ways to build members’ commitment to online communities, based on theories of social identity and interpersonal bonds. It provides an overview of the relevant theory, describes results of a 6-month field experiment in which an existing site was redesigned based on principles derived from social identity and interpersonal-bond theories, and describes the results of an agent-based model that examines how different approaches to moderating the content in a group influence social identity and interpersonal bonds."
http://videolectures.net/icwsm2010_kearns_bes/,"For four years now, we have been conducting “medium-scale” experiments in how human subjects behave in strategic and economic settings mediated by an underlying social network structure. We have explored a wide range of networks inspired by generative models from the literature, and a diverse set of collective strategic problems, including biased voting, graph coloring, consensus, and networked trading. These experiments have yielded a wealth of both specific findings and emerging general themes about how populations of human subjects interact in strategic networks. Kearns will review these findings and themes, with an emphasis on the many more questions they raise than answer. Michael Kearns is a professor of computer and information science at the University of Pennsylvania, where he holds the National Center Chair in Resource Management and Technology. He is the founding director of Penn Engineering’s new Market and Social Systems Engineering (MKSE) program. Kearns has secondary appointments in the Statistics and Op erations and Information Management (OPIM) departments of the Wharton School, and is an affiliated faculty member of Penn’s Applied Math and Computational Science graduate program. Kearns also serves as an advisor to Yodle, kaChing, Invite Media, and Kwedit. His research interests include topics in machine learning, algorithmic game theory, social networks, computational finance, and artificial intelligence. Most recently, he has been conducting human-subject experiments on strategic and economic interaction in social networks. Kearns received his B.S in mathematics and computer science from the University of California at Berkeley in 1985, and his Ph.D. in computer science from Harvard University in 1989. He has served as the program chair of NIPS, AAAI, COLT, and ACM EC. He is a member of the NIPS Foundation and the steering committee for the Snowbird Conference on Learning, and serves on the editorial board of The MIT Press series on adaptive computation and machine learning."
http://videolectures.net/icwsm2010_pennebaker_wrp/,"Pennebaker’s research explores the links between traumatic experiences, expressive writing, natural language use, and physical and mental health. Across numerous real-world contexts, his studies have demonstrated that the words people use serve as powerful reflections of their personality and social worlds. For example, his analyses of over 1,000 people who wrote blogs in the weeks before and after September 11 terrorist attacks showed that the journal entries revealed pronounced psychological changes in response to the attacks. His talk will address the fact that most language-based computer programs analyze content-heavy words (such as nouns and regular verbs) and throw out “junk” words (such as pronouns, prepositions, and articles) to understand people’s thinking, buying, searching, and other behaviors. According to Pennebaker’s work, analyses of junk words can yield important insights into the social and psychological processes of people across cultures and languages. He will talk about his recent studies, which point to the role of junk words in identifying personality, depression, status, honesty, group cohesiveness, and other individual and group behaviors."
http://videolectures.net/icwsm2010_watkins_ivs/,"Watkins has been researching young people’s media behaviors for more than ten years and he teaches in the departments of Radio - Television - Film and Sociology and the Center for African and African American Studies. His recent book, The Young and the Digital: What the Migration to Social Network Sites, Games, and Anytime, Anywhere Media Means for Our Future, explores young people’s dynamic engagement with social media, online games, mobile phones, and communities like Facebook and MySpace. A few short years ago Facebook was widely viewed as a site for college students who used the platform primarily for social purposes - making new friends, stalking each other, and posting pictures from a weekend of partying and drinking. Watkins’ talk will show how young people’s participation in Facebook is actually more complex than the popular images and myths suggests. Drawing from both survey data and in-depth interviews with current college students and recent college graduates the talk considers how the use of Facebook evolves across the young life-cycle. The talk also discusses the question: what’s social about social media?"
http://videolectures.net/icwsm2010_ellison_ris/,"Ellison’s research has been examining the ways in which new information and communication technologies shape social processes, and vice versa. Her recent research has focused on the social capital implications of social network site use and issues of self-presentation, relationship formation and maintenance, and impression formation in online contexts. Ellison’s talk will present research examining how people use the Internet to engage in self-presentation, form and maintain relationships, and garner social capital benefits. The talk will focus on two new streams of research: one examining the ways in which people use Facebook to connect with others and access social support and the other exploring online dating participants’ perceptions regarding acceptable and unacceptable misrepresentation in online dating profiles."
http://videolectures.net/icwsm2010_suri_sim/,"The spread of influence among individuals in a social network can be naturally modeled in a probabilistic framework, but it is challenging to reason about differences between various models as well as to relate these models to actual social network data. Here we consider two of the most fundamental definitions of influence, one based on a small set of ""snapshot'' observations of a social network and the other based on detailed temporal dynamics. The former is particularly useful because large-scale social network data sets are often available only in snapshots or crawls. The latter however provides a more detailed process model of how influence spreads. We study the relationship between these two ways of measuring influence, in particular establishing how to infer the more detailed temporal measure from the more readily observable snapshot measure. We validate our analysis using the history of social interactions on Wikipedia; the result is the first large-scale study to exhibit a direct relationship between snapshot and temporal models of social influence."
http://videolectures.net/icwsm2010_chang_esn/,"We propose an approach to determine the ethnic breakdown of a population based solely on people's names and data provided by the U.S. Census Bureau. We demonstrate that our approach is able to predict the ethnicities of individuals as well as the ethnicity of an entire population better than natural alternatives. We apply our technique to the population of U.S. Facebook users and uncover the demographic characteristics of ethnicities and how they relate. We also discover that while Facebook has always been diverse, diversity has increased over time leading to a population that today looks very similar to the overall U.S. population. We also find that different ethnic groups relate to one another in an assortative manner, and that these groups have different profiles across demographics, beliefs, and usage of site features."
http://videolectures.net/icwsm2010_tufekci_waf/,"There is an ongoing debate, not just among academics but in popular culture, about whether social media can expand people’s social networks, and whether online friends can be “real” friends. The debate refuses to die. This paper addresses this question subjectively, from the point of view of the user, and examines the predictors of acquiring new friends through social media use. This is a multi-method study with quantitative (n=617) and qualitative sections. Some previous studies have found a “rich-get-richer” effect where people who are socially active offline appear to benefit most from online interactions. This paper is based on the idea that whether online friends can be real friends may be subject to a self-fulfilling prophecy: those who do not believe that online friendships can be real friendships are not likely to make such connections. I compare the “Rich Get Richer” and “Seek and Ye Shall Find” models by examining relationships between the amount of offline socializing, amount of online social activity and the belief in online friendships. I also qualitatively examine reasons cited by respondents as to why online sociality is or is not a plausible route to meaningful friendship. The results show strong support for one of the earliest theories of computer-mediated-communication: hyperpersonal interaction. It appears that a sizable portion of the young generation finds online interaction positive because it is perceived to concentrate on the conversation itself, rather than on appearances, and is seen as freer of social judgments. African-Americans are significantly more likely to meet new friends online. There also appear to be underlying personality traits, apart from traditional demographic variables, that divide the population in terms of their attitude towards online sociality."
http://videolectures.net/icwsm2010_couronne_tbs/,"The emergence of online platforms allowing to mix self publishing activities and social networking offers new possibilities for building online reputation and visibility. In this paper we present a method to analyze the online popularity that takes into consideration both the success of the published content and the social network topology. First, we adapt the Kohonen self organizing maps in order to cluster the users of online platforms depending on their audience and authority characteristics. Then, we perform a detailed analysis of the manner nodes are organized in the social network. Finally, we study the relationship between the network local structure around each node and the corresponding user’s popularity. We apply this method to the MySpace music social network. We observe that the most popular artists are centers of star shaped social structures and that it exists a fraction of artists who are involved in community and social activity dynamics independently of their popularity. This method based on a learning algorithm and on network analysis appears to be a robust and intuitive technique for a rich description of the online behavior."
http://videolectures.net/icwsm2010_simmons_sde/,"This paper examines social structures underlying economic activity in Second Life (SL), a massively multiplayer virtual world that allows users to create and trade virtual objects and commodities. We find that users conduct many of their transactions both within their social networks and within groups. Using frequency of chat as a proxy of tie strength, we observe that free items are more likely to be exchanged as the strength of the tie increases. Social ties particularly play a significant role in paid transactions for sellers with a moderately sized customer base. We further find that sellers enjoying repeat business are likely to be selling to niche markets, because their customers tend to be contained in a smaller number of groups. But while social structure and interaction can help explain a seller's revenues and repeat business, they provide little information in the forecasting a seller's future performance. Our quantitative analysis is complemented by a novel method of visualizing the transaction activity of a seller, including revenue, customer base growth, and repeat business."
http://videolectures.net/icwsm2010_counts_ybf/,"We measured individuals’ mental associations between four types of media (books, television, social/Facebook, and general informational web pages) and relevant concepts (Addictive, Story, Interesting, Frivolous, Personal, and Useful) using three different measurements: a Likert scale questionnaire, a speeded Yes/No judgment task, and electrical brain activity. The three measures were designed to capture associations at different levels of mental processing, from very automatic (electrical brain activity) to conscious and reasoned (questionnaire). At more conscious levels of cognitive processing, Facebook was seen as interesting, addictive, and highly personal. Results for the electrical brain activity measure show that Facebook tells less of a story and, surprisingly, is less personal than other forms of media. We discuss differences in results across the three measures and how our findings can inform the design of future social media systems."
http://videolectures.net/icwsm2010_girju_tsc/,"In this paper we present encouraging preliminary results into the problem of social causality (causal reasoning used by intelligent agents in a social environment) in online social interactions based on a model of reciprocity. At every level, social relationships are guided by the shared understanding that most actions call for appropriate reactions, and that inappropriate reactions require management. Thus, we present an analysis of interpersonal relationships in English reciprocal contexts. Specifically, we rely here on a large and recently built database of 10,882 reciprocal relation instances in online media. The resource is analyzed along a set of novel and important dimensions: symmetry, affective value, gender}, and {\em intentionality of action which are highly interconnected. At a larger level, we automatically generate {\em chains of causal relations} between verbs indicating interpersonal relationships. Statistics along these dimensions give insights into people's behavior, judgments, and thus their social interactions."
http://videolectures.net/icwsm2010_dechoudhury_hdd/,"Platforms such as Twitter have provided researchers with ample opportunities to analytically study social phenomena. There are however, significant computational challenges due to the enormous rate of production of new information: researchers are therefore, often forced to analyze a judiciously selected “sample” of the data. Like other social media phenomena, information diffusion is a social process–it is affected by user context, and topic, in addition to the graph topology. This paper studies the impact of different attribute and topology based sampling strategies on the discovery of an important social media phenomena–information diffusion. We examine several widely-adopted sampling methods that select nodes based on attribute (random, location, and activity) and topology (forest fire) as well as study the impact of attribute based seed selection on topology based sampling. Then we develop a series of metrics for evaluating the quality of the sample, based on user activity (e.g. volume, number of seeds), topological (e.g. reach, spread) and temporal characteristics (e.g. rate). We additionally correlate the diffusion volume metric with two external variables–search and news trends. Our experiments reveal that for small sample sizes (30%), a sample that incorporates both topology and user context (e.g. location, activity) can improve on naive methods by a significant margin of 15-20%."
http://videolectures.net/icwsm2010_russo_tot/,"Along with the growth in artifact sharing in online communities such as Flickr, YouTube, and Facebook comes the demand for adding descriptive meta-information, or tags. Tags help individuals to organize and communicate the content and context of their work for themselves and for others. This longitudinal study draws on research in social psychology, network theory and online communities to explain tagging over time. Our findings suggest that tagging increases as a contributor receives attention from others in the community. Further, we find that the more a user's network neighbors are connected to each other directly, the less the focal user will tend to tag his photos. However, density interacts with attention such that those who are surrounded by a dense ego network respond more to attention than others whose ego networks are sparsely interconnected. Unexpectedly, we find no direct correlation between tagging and the individual motivations of enjoyment and commitment. While commitment is not directly associated with tagging, there is an interaction effect such that the effect of commitment on tagging is positive for users with low-density ego networks and negative when a user is surrounded by a high-density network. Directions for future research as well as implications for theory and practice are discussed."
http://videolectures.net/icwsm2010_shami_ehrlich_mio/,"Microblogging has recently generated a lot of research interest. Yet very little is known about how corporate employees use microblogging tools. This study examined microblogging in the workplace by conducting a content analysis comparing posts from individuals who were using an internal proprietary tool and Twitter simultaneously. In both settings, posts that provided information or were directed to others were more common than posts on status. Within these categories, it was more frequent to provide information externally than internally but more common to ask questions either through broadcast or directed posts internally than externally. Qualitative interviews explored users’ motivations regarding microblogging behavior. The paper concludes with a discussion of the implications of microblogging for business use."
