0,1
http://videolectures.net/iswc2019_euzenat_for_knowledge/,"A large range of animals are able to learn from their environment, but human beings are special among them because they can articulate knowledge and they can communicate it. Written expression and communication have allowed to get rid of time and space in knowledge transmission. They allow learning directly from elaborated knowledge instead of by experience. These key features have led the creation of whole cultures, providing a selective advantage to the species. The worldwide web facilitating cultural exchange is a culminating point in this story, so far. Hence, the idea of a semantic web allowing machines to have a grasp on this knowledge is a tremendous idea. Alas, after twenty years, the semantic web field is mostly focused on data, even when it is made of so-called knowledge graphs. Of course, there are schemata and vocabularies, but they are only a simple kind of knowledge. Although data may be open, knowledge eventually learnt by machines is very often not disclosed nor prone to communication. This brings us down the knowledge evolution ladder. The grand goal of formally expressing knowledge on the web must be rehabilitated. We do not need knowledge cast in stone for ever, but knowledge that can seamlessly evolve; we do not need to build one single knowledge source, but encourage diversity which is source of disputation and robustness; we do not need consistent knowledge at the web scale, but local theories that can be combined. We will discuss in particular how knowledge can be made live and evolve by taking inspiration from cultural evolution and evolutionary epistemology."
http://videolectures.net/iswc2019_johnston_hollitt_universe/,"Astrophysics is one of the most data intensive research fields of the modern world and, as such, provides a unique context to drive many of the required innovations in the “big data” regime. In particular, radio astronomy is foremost in the field in terms of big data generation, and thanks to sustained global investment in the discipline over the last decade, present telescopes generate tens of petabytes of data per annum. The pinnacle of this so-called on-going ‘radio renaissance’ will be the Square Kilometre Array (SKA) — a global observatory tasked with probing the deepest mysteries of the Universe. The SKA will create the highest resolution, fastest frame rate movie of the evolving Universe ever and in doing so will generate 160 terrabytes of raw data a day, or close to 5 zettabytes of data per annum. These data will be processed into of order 1 petabyte of image cubes per day which will be processed, curated, and ultimately distributed via a network of coordinated tiered compute facilities to the global astronomical community for scientific exploitation. However, this truly data-rich environment will require new automated and semantic processes to fully exploit the vast sea of results generated. In fact, to fully realize the enormous scientific potential of this endeavour, we will need not only better data tagging and coordination mechanisms, but also improved algorithms, artificial intelligence, semantics and ontologies to track and extract knowledge in an automated way at a scale not yet attempted in science. In this keynote I will present an overview of the SKA project, outline the “big data” challenges the project faces and discuss some of the approaches we are taking to tame this astronomical data deluge."
http://videolectures.net/iswc2019_watt_semantics/,"Semantics has a vital role to play in bringing meaning to business data. In this talk I will show how semantic technology can help solve the modern data complexity, integration and flexibility issues for business computing technologies, both from a technical and psychological perspective and suggest some challenges and opportunities for further research and collaboration."
http://videolectures.net/iswc2018_golbeck_personal_privacy_sematic/,"From social media to transaction records to surveillance, vast quantities of personal data can now be accessed, integrated, and analyzed. This has the promise to support transformationally helpful applications but it also poses a serious threat to user privacy. In this talk, I will discuss user preferences for data control, how a framework for making data aggregation and analysis better for humans, and the impacts this will have on the web and semantic web technologies."
http://videolectures.net/iswc2018_noy_not_linked_data/,"We like to say that a lot of applications today are “data-driven”. And it is probably true. The Semantic Web community has focused on making a lot of this data linked and annotated with ontologies and knowledge graphs, developing a host of novel and pragmatic applications. However, the majority of data today is somewhat structured, but it is not linked data. Yet, approaches rooted in lightweight semantics can help us make that data discoverable and useful. I will talk about our experiences trying to make all the data on the Web discoverable, challenges in trying to find some order in the Wild West that is the data on the Web today, and both technology and community-building challenges that we must address."
http://videolectures.net/iswc2018_savkovic_sematics_validation_shacl/,"With the popularity of RDF as an independent data model came the need for specifying constraints on RDF graphs, and for mechanisms to detect violations of such constraints. One of the most promising schema languages for RDF is SHACL, a recent W3C recommendation. Unfortunately, the specification of SHACL leaves open the problem of validation against recursive constraints. This omission is important because SHACL by design favors constraints that reference other ones, which in practice may easily yield reference cycles. In this paper, we propose a concise formal semantics for the so-called ""core constraint components"" of SHACL. This semantics handles arbitrary recursion, while being compliant with the current standard. Graph validation is based on the existence of an assignment of SHACL ""shapes"" to nodes in the graph under validation, stating which shapes are verified or violated, while verifying the targets of the validation process. We show in particular that the nature of SHACL forces us to consider cases in which these assignments are partial, or, in other words, where the truth value of a constraints at some nodes of a graph may be left unknown. Dealing with recursion comes at a price, as validating an RDF graph against SHACL constraints is NP-hard in the size of the graph, and this lower bound still holds for a fragment of SHACL using stratified negation. Therefore we also propose a tractable approximation to the validation problem."
http://videolectures.net/iswc2018_soulet_representativeness_knowledge/,"Knowledge bases (KBs) such as DBpedia, Wikidata, and YAGO contain a huge number of entities and facts. Several recent works induce rules or calculate statistics on these KBs. Most of these methods are based on the assumption that the data is a representative sample of the studied universe. Unfortunately, KBs are biased because they are built from crowdsourcing and opportunistic agglomeration of available databases. This paper aims at approximating the representativeness of a relation within a knowledge base. For this, we use the Generalized Benford's law, which indicates the distribution expected by the facts of a relation. We then compute the minimum number of facts that have to be added in order to make the KB representative of the real world. Experiments show that our unsupervised method applies to a large number of relations. For numerical relations where ground truths exist, the estimated representativeness proves to be a reliable indicator."
http://videolectures.net/iswc2018_hernandez_certain_sparql_nodes/,"Blank nodes in RDF graphs can be used to represent existential values known to exist but whose identity remains unknown. A prominent example of such usage can be found in the Wikidata dataset where, e.g., the author of Beowulf is given as a blank node. However, while SPARQL considers blank nodes in a query as existentials, it treats blank nodes in data more like constants. Running SPARQL queries over datasets with unknown values thus may lead to uncertain results, which may make the SPARQL semantics unsuitable for datasets with existential blank nodes. We thus explore the feasibility of an alternative SPARQL semantics based on certain answers. In order to estimate the performance costs that would be associated with such a change in semantics for current implementations, we adapt and evaluate approximation techniques proposed in a relational database setting for a core fragment of SPARQL. To further understand the impact that such a change in semantics may have on query solutions, we analyse how such a change would affect the results of user queries over Wikidata."
http://videolectures.net/iswc2018_cogrel_efficient_sparql_obda/,"OPTIONAL is a key feature in SPARQL for dealing with missing information. While this operator is being used extensively, it is also known for its complexity, which can make it challenge to evaluate queries with OPTIONAL efficiently. In this paper, we tackle this challenge in the standard Ontology-Based Data Access (OBDA) setting, where the data is stored in a SQL relational database and is exposed as a virtual RDF graph by the means of an R2RML mapping. We start with a succinct translation of a fragment of SPARQL into Relational Algebra (RA) that fully respects bag semantics and three-valued logic. This translation relies on extensive use of the LEFT JOIN operator and coalesce function. We then propose a number of optimisation techniques for reducing the size and improving the structure of generated SQL queries. Our optimisations capture interactions between JOIN, LEFT JOIN, coalesce and database integrity constraints such as attribute nullability and uniqueness, and foreign key constraints. Finally, we empirically verify effectiveness of our techniques over several OBDA benchmarks."
http://videolectures.net/iswc2018_collarana_synthesizing_minte_framework/,"Institutions from different domains require the integration of data coming from heterogeneous Web sources. Typical use cases include Knowledge Search, Knowledge Building, and Knowledge Completion. We report on the implementation of the RDF Molecule-Based Integration Framework MINTE+ in three domain-specific applications: Law Enforcement, Job Market Analysis, and Manufacturing. The use of RDF molecules as data representation and a core element in the framework gives MINTE+ enough flexibility to synthesize knowledge graphs in different domains. We first describe the challenges in each domain-specific application, then the implementation and configuration of the framework to solve the particular problems of each domain. We show how the parameters defined in the framework allow to tune the integration process with the best values according to each domain. Finally, we present the main results, and the lessons learned from each application."
