Video_Presentation,Abstracts
http://videolectures.net/is2012_milic_frayling_social_media/,"Social media services are complex ecosystems of human and technology where the user engagement and the infrastructure support need to be in balance. Sustainability of social media fundamentally depends on the ability to instigate and maintain the user engagement over time and develop business models that leverage that engagement to support the underlying technology. Thus, it is of paramount importance to develop techniques and metrics to monitor the health of the community and to adopt business models that are effective yet compatible with the users’ expectations and established trust. In this presentation we discuss the design challenges of social media, the tools for network analysis, and the implications of the advertising business models for user privacy."
http://videolectures.net/is2012_milic_media_monitoring/,"Selecting the right social media monitoring (SMM) tool has become a challenging task for organizations as SMM industry has branched out to embrace diverse technologies, data types, and numerous vendors confusing buyers. New tools and services are emerging continually, while already established SMM companies are frequently improving their products with new features and broader data coverage. In this study we provide a comprehensive view of the SMM market, product offerings, and business applications, to assist organizations in choosing and employing the SMM tools to best address their specific business goals."
http://videolectures.net/is2012_stajner_sentiment_analysis/,"This paper addresses the problem of sentiment analysis in an informal setting in multiple domains and in two languages. We explore the influence of using background knowledge in the form of different sentiment lexicons, as well as the influence of various lexical surface features. We show that the improvement resulting from using a two-layer model, sentiment lexicons, surface features and feature scaling is most notable on social media datasets in both English and Spanish. For English, we are also able to demonstrate improvement on the news domain using sentiment lexicons and a large improvement on the social media domain. We also demonstrate that domain-specific lexicons bring comparable performance to generalpurpose lexicons."
http://videolectures.net/is2012_skraba_hub_languages/,"In this paper we extend previous work on document retrieval across multilingual corpora. In this setting it is often assumed that we have a certain alignment given based on which we can learn mapping between spaces. In true multilingual corpora however, we often do not have alignments between all languages. There are hub languages which have alignments with many other languages. We look at the effectiveness of leveraging these alignments to learn maps which may have small or no alignments given. We test several methods and investigate the performance of various approaches on theWikipedia dataset."
http://videolectures.net/is2012_starc_relation_extraction/,"In pattern based relation extraction, patterns that with high precision and recall produce semantically useful relations are preferred. We present a technique similar to n-gram extraction that extracts patterns from large text corpora and calculates statistics, like frequency, minimal token frequency and normalized expectation, which guide to preferred patterns. Patterns have named-instances and/or one variable length gap as arguments. We extracted patterns from a large news corpus and translated them to Cyc relations. We focused on four patterns, which we evaluate by asserting their translated relations to Cyc knowledge base."
http://videolectures.net/is2012_trampus_aggregated_web/,"We present a pipeline for acquiring a clean, continuous, real-time aggregated stream of publically available news articles from web sites across the world. The articles are stripped of the web page chrome and semantically enriched to include e.g. a list of entities appearing in each article. The results are cached and distributed in an efficient manner."
http://videolectures.net/is2012_stopar_news_search/,"NewsSearch proposed in this paper is a search engine interface, which allows users to visually re-rank search results. When a query is first made, the results are visualized using topic, concept and location widgets on the client side. The user is then able to filter and re-rank complete results by interacting with the visualization widgets. Filtering and re-ranking is performed on the server side, allowing the user to seamlessly browse through millions of results."
http://videolectures.net/is2012_glavas_event_factuality/,"There is a certain discrepancy between real-world events and their representations in text (linguistic events or event mentions). The event mentions often refer to future or hypothetical events that have not actually occurred or whose occurrence is uncertain. In this paper we address the problem of predicting event factuality in Croatian texts using supervised machine learning. For each event mention, we aim to predict its polarity (whether the denoted event has actually happened) and its certainty (the level of confidence that the denoted event has happened). We use only lexically-based features, in order to investigate how well this problem may be addressed for a resource-poor language such as Croatian. Our preliminary results suggest that while predicting event polarity using only lexically-based features is feasible, predicting event certainty mandates the use of more sophisticated features."
http://videolectures.net/is2012_novalija_narrator/,"Selecting the right social media monitoring (SMM) tool has become a challenging task for organizations as SMM industry has branched out to embrace diverse technologies, data types, and numerous vendors confusing buyers. New tools and services are emerging continually, while already established SMM companies are frequently improving their products with new features and broader data coverage. In this study we provide a comprehensive view of the SMM market, product offerings, and business applications, to assist organizations in choosing and employing the SMM tools to best address their specific business goals."
http://videolectures.net/is2012_stopar_alert_system/,"Large open source projects use several communication channels to exchange information. Examples of these channels are bug tracking systems (BTS), source code management systems, mailing lists, forums and wikis. Since these information sources use different platforms there is no system which would allow users of these communication channels to find information appearing on any of these sources. Developing a system that will support such search functionality is the main goal of a European project called ALERT. In this paper we will introduce the project and describe the search features that can be used by the users of the ALERT system and highlight the advantages that they bring."
http://videolectures.net/is2012_moraru_smart_cities/,"Complex Event Processing (CEP) is emerging as a new paradigm for continuous processing of streaming data in order to detect relevant information and provide support for timely reactions. The main role of a CEP engine is to detect the occurrence of event patterns on the incoming streaming data. However, the problem of discovering the event patterns, although strongly related to the data mining field, has not been studied from the perspective of CEP applications. This paper presents the first steps towards defining a framework that would allow seamless integration of CEP and data mining method. We present the smart cities scenarios as a good working-field for experimentation. A concrete use case is discussed and preliminary results are presented for real-live data that has been collected."
http://videolectures.net/is2012_pogacnik_photo_aesthetics/,"In this paper we propose a method for automatic assessment of aesthetic appeal of photographs. We identify significant parameters that distinguish high quality photography from low quality snapshots. On the basis of these parameters, we defined calculable features for automatic assessment of photography aesthetics using machine learning methods. The calculation of features depends heavily on the identification of the subject in photographs. With the subject identified, we defined and implemented various features to analyze various aspects of a photograph. The features were tested on two datasets. First dataset was obtained from Flickr and manually labeled for evaluation. Second dataset was based on photographs from DPChallenge portal where subjects were identied with a face detection algorithm. Both experiments showed some promising results. In this article we specify the features which contribute to a successful classication of photographs, analyze their in influence and discuss the results. In conclusion, we offer some suggestions for further research."
http://videolectures.net/is2012_bratko_ai_slovenia/,"Today there are at least ten research laboratories in Slovenia that can be counted as being importantly involved with Artificial Intelligence research, with solid funding that comes mainly from the Slovenian and EU research programs and projects. There are about 150 researchers involved in this research. In this talk I will describe how all this started about four decades ago with a few researchers, and how it developed into the present, rather sizable Slovenian AI community. I will tell some memorable stories, largely from my own personal perspective, of exciting research ideas and scientific achievements in the process. I will also describe the immense benefit that Slovenian AI enjoyed from the collaboration with Donald Michie, one of the pioneers of AI and a co-worker of Alan Turing during the 2nd World War, and other excellent researchers, including Claude Sammut and Stephen Muggleton, who once worked at Donald’s research institutions Edinburgh University and Turing Institute in Glasgow."
